ISO_Code,Country_Name,HALE_Percentile,DEA_Efficiency_Percentile,Fund_Input_Percentile,Physician_Coverage_Percentile,PM25_Burden_Control_Percentile,Tobacco_Burden_Control_Percentile,Clinical_Budget_Pct,Admin_Budget_Pct,PublicHealth_Pct,Env_Pct,Tobacco_Pct,CATE_Clinical,CATE_Admin,CATE_PublicHealth,CATE_Env,CATE_Tobacco
BGR,保加利亚,45.92,89.8,71.94,88.78,38.78,22.96,49.93,5.16,27.03,17.76,0.12,0.49,10.32,0.27,0.16,0.05
FSM,密克罗尼西亚联邦,24.49,62.76,55.1,38.27,41.33,3.06,43.9,7.25,28.46,20.25,0.14,-1.85,0.24,0.04,0.1,0.19
QAT,卡塔尔,77.55,97.96,79.08,70.41,12.76,37.24,43.84,5.52,32.89,17.62,0.13,0.12,-3.92,0.34,0.09,-0.08
GAB,加蓬,18.88,82.65,37.24,28.06,60.2,80.61,49.7,6.68,24.05,19.4,0.16,1.69,-5.81,0.21,0.31,0.36
PSE,巴勒斯坦,48.98,12.24,44.39,57.65,81.12,68.37,46.82,5.85,27.57,19.61,0.14,0.37,0.25,0.09,0.09,0.14
UKR,乌克兰,40.05,84.69,45.92,77.55,48.47,26.53,44.11,5.43,30.91,19.43,0.13,-0.27,-1.1,0.02,0.08,0.21
GBR,英国,86.22,77.55,91.84,73.47,87.24,33.16,50.6,4.37,27.16,17.77,0.1,0.84,-6.24,0.28,-0.03,-0.24
BGD,孟加拉国,55.1,62.76,11.73,32.65,0.51,3.57,43.91,7.09,23.59,25.26,0.14,0.59,-0.83,0.07,0.09,-0.01
GEO,格鲁吉亚,46.94,6.63,58.67,97.45,38.27,10.2,50.47,3.36,28.62,17.4,0.13,-0.51,-4.33,0.12,0.14,0.33
PRY,巴拉圭,36.22,62.76,57.14,83.67,52.55,43.37,45.78,5.54,31.21,17.34,0.13,-0.24,-0.67,0.02,0.09,0.17
GHA,加纳,23.98,78.06,16.84,21.43,21.43,92.35,45.72,5.01,25.83,23.3,0.15,0.58,-0.07,0.09,0.05,0.14
BFA,布基纳法索,13.27,96.43,17.35,9.69,34.69,94.9,47.98,5.21,23.01,23.64,0.16,-2.39,3.88,-0.05,0.8,-0.01
PRT,葡萄牙,88.27,62.76,84.69,97.96,83.67,61.73,53.73,4.6,27.08,14.48,0.11,0.88,6.96,0.22,0.04,-0.24
BEL,比利时,89.54,22.45,92.86,78.57,87.76,41.33,57.38,4.02,24.47,14.04,0.1,1.02,9.41,0.28,0.13,0.01
PHL,菲律宾,28.06,36.22,32.14,36.22,16.33,20.41,42.77,5.57,27.72,23.8,0.13,0.01,2.58,0.03,0.05,0.13
GRD,格林纳达,56.12,29.59,56.63,45.92,80.61,70.41,46.93,4.36,30.32,18.27,0.13,-0.15,-2.74,0.04,0.07,0.48
PLW,帕劳共和国,51.79,5.1,77.55,52.55,95.41,9.18,46.08,5.53,29.7,18.55,0.13,-0.12,-2.64,-0.0,0.07,0.36
USA,美利坚合众国,64.29,12.76,100.0,80.61,90.82,36.22,55.92,3.64,22.63,17.72,0.09,0.21,-1.13,0.23,0.21,0.09
